,trElbo,trXYZ,trKl,vlElbo,vlXYZ,vlKl
12732,0.4109467826783657,0.11549924546852708,0.2954475395381451,0.7072814702987671,0.1858904093503952,1.6615895748138427
12733,0.33586674369871616,0.10732035618275404,0.22854639030992985,0.8294845819473267,0.2336337357759476,1.6852559208869935
12734,0.36283289082348347,0.11245597386732696,0.2503769202157855,0.8829797506332397,0.20749152302742005,1.7012666821479798
12735,0.4162856712937355,0.14733285829424858,0.2689528139308095,0.7077824473381042,0.1496223032474518,1.5086456060409543
12736,0.4833373818546534,0.15712219150736928,0.3262151852250099,0.8305886387825012,0.1563613682985306,1.4548354387283324
12737,0.4834468588232994,0.1502845697104931,0.3331622900441289,0.8050632476806641,0.1898693770170212,1.4109561085700988
12738,0.3897696565836668,0.14669550489634275,0.2430741488933563,0.7366746068000793,0.1282738983631134,1.422197163105011
12739,0.2959357686340809,0.10176327405497433,0.1941724931821227,0.7833057641983032,0.13443382382392882,1.5579536437988282
12740,0.2551157735288143,0.09707415150478482,0.15804162295535207,0.7442421317100525,0.15367279946804047,1.5748842000961305
12741,0.2299208296462893,0.09738340368494393,0.13253742968663573,0.7104429006576538,0.1532304123044014,1.5753394722938538
12742,0.217692781239748,0.09897205652669072,0.11872072471305728,0.6537792086601257,0.10981425195932387,1.6828397870063785
12743,0.22416645009070635,0.1142342952080071,0.1099321530200541,0.7098498344421387,0.1295383796095848,1.6848585247993468
12744,0.1864827498793602,0.09393391129560767,0.09254883788526057,0.6465616822242737,0.1488088548183441,1.725853943824768
12745,0.18441973067820072,0.0954252197407186,0.08899451070465147,0.7004712820053101,0.15676746815443038,1.7739682912826538
12746,0.17180301994085312,0.08410057006403804,0.08770245010964572,0.6278467178344727,0.1272261530160904,1.7481791734695435
12747,0.18208023346960545,0.09407247323542832,0.08800775860436261,0.7200788855552673,0.15494828522205353,1.837521016597748
12748,0.19882073439657688,0.09647256787866354,0.10234816651791334,0.6670512557029724,0.1877352625131607,1.950817143917084
12749,0.2157777678221464,0.1029039416462183,0.11287382477894425,0.6305702924728394,0.11950225085020065,1.9060275912284848
12750,0.19891660194844007,0.08540901448577642,0.11350758653134108,0.6310001611709595,0.14101696014404294,1.892981195449829
12751,0.2042996678501368,0.08930822741240263,0.11499143997207285,0.6484260559082031,0.140481573343277,1.9194637656211853
12752,0.22307713236659765,0.08735111053101717,0.1357260229997337,0.7381594777107239,0.15138823091983794,1.9167807817459104
12753,0.23509310744702816,0.08370321476832032,0.15138989174738526,0.7349535822868347,0.1940482437610626,1.9286387205123896
12754,0.2533478541299701,0.08490988658741118,0.16843796987086535,0.672852635383606,0.1661287009716034,1.8833256483078
12755,0.3235885361209512,0.1039633851032704,0.21962514985352755,0.8113738894462585,0.2070143938064576,1.8432371616363523
12756,0.3759807357564569,0.1228352184407413,0.2531455191783607,0.7107343077659607,0.14451195448637008,1.5131471514701844
12757,0.3678544946014881,0.12929581524804235,0.2385586812160909,0.8305010795593262,0.18187553584575653,1.5784254670143127
12758,0.3628567457199097,0.16355654736980796,0.19930020067840806,0.9022879600524902,0.17430840730667113,1.7294718742370605
12759,0.3698838166892529,0.12283302657306196,0.2470507901161909,0.7952111959457397,0.13961728662252426,1.6380821466445925
12760,0.30990233831107616,0.11051898123696446,0.19938335940241814,0.7782982587814331,0.11071394085884094,1.7969202041625976
12761,0.2371319299563765,0.08896760805509983,0.1481643207371235,0.7426726818084717,0.13528146594762802,2.078986275196076
12762,0.2350071258842945,0.10999437049031258,0.12501275446265936,0.8162840008735657,0.15369247943162914,2.000271165370941
12763,0.21309539861977106,0.10589912859722972,0.10719627002254127,0.7298277616500854,0.17973131835460662,2.016753840446472
12764,0.17815705761313438,0.0876236748881638,0.09053338225930928,0.5976166725158691,0.10296935886144636,1.9947579979896544
12765,0.1668306402862072,0.09281776938587427,0.07401287113316357,0.647740364074707,0.12957891076803207,2.0103302240371703
12766,0.15571369137614965,0.08003341592848301,0.0756802735850215,0.6511943340301514,0.1400543600320816,2.0304076433181764
12767,0.1663361955434084,0.08760718395933509,0.0787290115840733,0.6224722862243652,0.1458243876695633,2.0417088866233826
12768,0.20244267489761114,0.10094012063927947,0.1015025544911623,0.6993104219436646,0.13304524272680282,2.0554262042045592
12769,0.17658200953155756,0.08762937365099788,0.08895263611339033,0.6675702929496765,0.11514519155025482,2.079362523555756
12770,0.1969488840550184,0.09253503102809192,0.1044138523284346,0.6808744668960571,0.13418784439563752,2.0429563403129576
12771,0.18087005708366632,0.08602208504453301,0.09484797203913332,0.7571582794189453,0.14395903125405313,2.017436456680298
12772,0.2055780533701181,0.08669876959174871,0.118879284709692,0.6955007910728455,0.11572005450725555,1.9936757802963256
12773,0.2188163856044412,0.09998989221639933,0.11882649129256605,0.6222547888755798,0.12196960300207138,1.917743873596192
12774,0.2649426525458693,0.12105899909511207,0.1438836553134024,0.7400100827217102,0.14722836017608645,2.0531891703605654
12775,0.2510916506871581,0.10112247616052628,0.14996917499229312,0.7650607228279114,0.17494401782751084,1.9245444059371948
12776,0.26252536475658417,0.10020084073767066,0.16232452262192965,0.6465269923210144,0.14654686599969866,1.7931228280067444
12777,0.27426513470709324,0.09165165876038373,0.1826134780421853,0.7064357995986938,0.17161044478416446,1.8396018624305728
12778,0.2972258683294058,0.10511980392038822,0.1921060630120337,0.7603752017021179,0.1430160716176033,1.9337466478347776
12779,0.3242287328466773,0.10656884452328086,0.21765988925471905,0.7857240438461304,0.15027737021446227,1.877488911151886
12780,0.32429047022014856,0.11432206560857595,0.2099684034474194,0.8418068885803223,0.19505455046892167,1.6004119396209715
12781,0.3215705519542098,0.15949196694418788,0.1620785859413445,0.6703929305076599,0.17198618203401567,1.89893845319748
12782,0.2866851612925529,0.11384720029309392,0.17283795960247514,0.6522746682167053,0.14636881798505785,1.892997145652771
12783,0.2660661870613694,0.10751584218814968,0.15855034487321973,0.8006337881088257,0.15082417279481888,1.8977096319198608
12784,0.2526443228125572,0.10537646105512977,0.14726785942912102,0.638452410697937,0.1764689192175865,1.8625182509422304
12785,0.2373374905437231,0.0983007331378758,0.13903675926849246,0.7583575248718262,0.11979374587535856,1.823933720588684
12786,0.2482568034902215,0.10193999903276564,0.14631680492311716,0.7318857908248901,0.1258666291832924,1.8927647829055787
